player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Justin Jefferson,61398,WR,MIN,18,185,0,18,0,-1.4,0,100.0,,0,0,0.0,0,4,0,92.4,72.5,0,17,0.0,0,77,14,93.5,72,90.8,14,7.6,0,81,101,7.2,5.8,1.13,10.9,5,81.5,75.0,9,12,4.3,2,27,0,90.1,90.9,1,64,0.0,0,225,44,92.4,208,117.2,54,29.2,1,710,295,6.7,16.1,3.41
Travis Kelce,7844,TE,KC,20,182,0,16,0,-2.1,5,93.8,,0,0,6.3,1,4,0,76.0,67.6,0,18,7.8,6,77,15,88.3,68,105.5,16,8.8,1,69,103,6.9,4.6,1.01,8.0,13,78.5,54.5,6,11,4.6,3,42,1,89.8,91.0,0,52,0.6,2,343,62,94.2,323,123.1,79,43.4,4,750,321,5.2,12.1,2.32
Tyreek Hill,10799,WR,MIA,18,181,0,17,0,-2.0,3,90.0,100.0,1,1,5.3,1,4,0,90.5,93.3,0,18,0.0,0,42,18,90.5,38,87.9,20,11.0,0,102,138,7.7,5.7,2.68,10.5,4,73.2,55.6,5,9,3.7,2,32,1,91.2,93.0,1,39,0.0,0,260,52,95.4,248,99.4,71,39.2,1,639,257,4.9,12.3,2.58
Davante Adams,8688,WR,LV,17,168,0,23,0,-1.4,5,100.0,,0,0,0.0,0,2,0,90.9,71.7,0,16,2.1,1,47,5,85.1,40,136.3,5,3.0,1,36,43,8.6,7.2,0.9,9.2,8,81.0,50.0,2,4,2.9,1,22,0,85.4,91.8,3,60,0.5,1,197,34,92.9,183,116.7,42,25.0,4,484,212,6.2,14.2,2.64
CeeDee Lamb,61570,WR,DAL,19,167,0,9,0,-2.9,4,89.5,,0,0,5.6,1,3,0,81.9,64.9,0,13,0.0,0,47,17,97.9,46,85.1,19,11.4,0,84,134,7.9,4.9,1.83,10.5,7,77.2,55.6,10,18,2.7,2,46,0,83.6,84.0,4,39,0.0,0,425,71,95.3,405,106.6,92,55.1,4,967,319,4.5,13.6,2.39
Stefon Diggs,9579,WR,BUF,18,166,0,4,0,-1.9,4,100.0,,0,0,0.0,0,4,0,92.4,77.2,0,13,0.0,0,40,14,97.5,39,81.8,14,8.4,0,51,77,5.5,3.6,1.31,10.6,3,71.4,66.7,4,6,5.4,2,19,0,58.5,89.0,0,53,0.0,0,238,35,95.8,228,101.3,49,29.5,0,467,192,5.5,13.3,2.05
A.J. Brown,48327,WR,PHI,20,158,0,24,0,-1.8,1,88.9,,0,0,11.1,1,1,1,60.6,49.9,0,11,0.0,0,90,8,94.4,85,81.5,9,5.7,0,32,45,5.6,4.0,0.38,13.6,2,60.0,50.0,2,4,7.7,1,9,1,78.1,88.9,0,39,0.0,0,181,12,95.6,173,129.2,20,12.7,4,180,68,5.7,15.0,1.04
Ja'Marr Chase,84270,WR,CIN,15,155,0,7,0,-2.1,5,90.5,0.0,0,1,5.0,1,5,0,89.2,91.7,0,11,0.0,0,52,19,96.2,50,86.1,21,13.5,0,98,143,7.5,5.2,1.96,4.6,8,79.5,20.0,1,5,2.8,1,18,0,90.1,90.0,1,28,0.0,0,164,35,93.3,153,93.4,44,28.4,1,302,192,5.5,8.6,1.97
DeVonta Smith,61100,WR,PHI,20,154,0,24,0,-2.1,8,100.0,,0,0,0.0,0,10,0,93.8,80.2,0,34,0.0,0,96,26,93.8,90,109.6,26,16.9,1,188,242,9.3,7.2,2.09,10.6,5,67.3,60.0,6,10,5.4,2,25,0,89.1,89.6,1,45,0.0,0,184,35,95.7,176,110.9,52,33.8,3,518,216,6.2,14.8,2.94
D.K. Metcalf,47864,WR,SEA,18,152,0,29,0,-1.0,1,75.0,,0,0,25.0,1,0,1,27.1,27.0,0,4,0.0,0,36,3,91.7,33,77.1,4,2.6,0,-3,3,1.0,-1.0,-0.09,13.9,0,57.1,50.0,3,6,7.7,1,7,1,78.7,80.9,0,23,0.0,0,108,12,96.3,104,108.4,21,13.8,2,136,21,1.8,11.3,1.31
Chris Godwin,11839,WR,TB,16,150,0,30,0,-1.9,2,94.4,,0,0,2.9,1,8,1,92.6,84.8,0,24,0.0,0,90,34,97.8,88,102.2,36,24.0,1,227,293,8.6,6.7,2.58,6.4,7,71.2,57.1,12,21,3.9,3,38,1,88.8,75.2,1,44,0.2,1,498,74,93.6,466,87.8,104,69.3,0,759,367,5.0,10.3,1.63
Christian Kirk,47546,WR,JAX,19,150,0,15,0,-2.5,3,90.9,,0,0,9.1,1,3,0,56.2,49.6,0,11,0.9,1,107,10,94.4,101,89.8,11,7.3,0,61,86,8.6,6.1,0.6,9.6,4,64.3,33.3,5,15,7.5,6,45,1,79.6,80.1,5,49,0.0,0,562,74,96.1,540,85.8,115,76.7,5,931,325,4.4,12.6,1.72
Diontae Johnson,33441,WR,PIT,17,141,0,25,0,-3.4,0,100.0,,0,0,0.0,0,2,0,45.7,52.9,0,14,0.0,0,44,8,88.6,39,85.4,8,5.7,0,36,63,7.9,4.5,0.92,5.3,4,69.2,50.0,1,2,14.3,3,9,0,56.7,72.2,2,14,0.0,0,86,18,93.0,80,50.5,26,18.4,0,142,58,3.2,7.9,1.78
Michael Pittman Jr.,29049,WR,IND,16,139,0,14,0,-2.1,0,100.0,100.0,1,1,0.0,0,0,0,91.6,40.0,0,10,0.0,0,57,8,93.0,53,79.2,8,5.8,0,14,31,3.9,1.8,0.26,8.3,3,75.0,55.6,5,9,6.3,2,20,0,88.6,70.7,2,26,0.0,0,183,30,94.5,173,86.3,40,28.8,1,328,148,4.9,10.9,1.9
Amon-Ra St. Brown,84470,WR,DET,16,139,0,11,0,-2.9,0,93.3,,0,0,0.0,0,7,0,92.7,91.3,0,13,0.0,0,57,14,94.7,54,96.7,15,10.8,0,108,148,10.6,7.7,2.0,5.3,4,77.2,25.0,2,8,6.2,4,35,0,90.3,91.4,0,29,0.3,1,306,61,94.1,288,102.1,79,56.8,1,596,297,4.9,9.8,2.07
Garrett Wilson,97405,WR,NYJ,17,139,0,22,0,-1.8,3,84.6,,0,0,0.0,0,3,0,92.1,74.4,0,23,0.0,0,48,11,93.8,45,87.8,13,9.4,0,66,87,7.9,6.0,1.47,10.1,7,63.0,33.3,3,9,3.3,1,21,0,90.1,85.2,1,54,0.0,0,222,29,95.9,213,85.9,46,33.1,0,445,159,5.5,15.3,2.09
Zay Jones,11792,WR,JAX,18,137,0,15,0,-2.2,4,92.9,,0,0,7.1,1,2,0,68.4,53.0,0,16,2.0,2,98,13,92.9,91,88.1,14,10.2,0,72,101,7.8,5.5,0.79,8.2,3,78.8,66.7,2,3,3.7,1,13,0,73.4,70.3,1,39,0.4,1,239,26,96.2,230,109.1,33,24.1,2,276,117,4.5,10.6,1.2
T.J. Hockenson,40912,TE,MIN,18,133,0,18,0,-3.7,1,100.0,,0,0,0.0,0,2,0,91.1,56.4,0,16,16.4,10,61,7,78.7,48,86.9,7,5.3,0,34,60,8.6,4.9,0.71,8.5,3,75.0,73.3,11,15,8.3,3,24,0,71.1,72.4,1,81,3.2,8,250,33,93.2,233,111.2,44,33.1,2,432,193,5.8,13.1,1.85
