player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Justin Jefferson,61398,WR,MIN,18,185,0,18,12.5,3,61.8,53.3,8,15,2.9,1,23,0,71.4,86.9,1,47,0.0,0,230,34,91.3,210,106.8,55,29.7,2,642,238,7.0,18.9,3.06,0,10.3,6,79.8,55.0,11,20,4.6,4,52,0,85.0,90.2,4,64,0.0,0,412,83,95.4,393,103.0,104,56.2,3,1067,357,4.3,12.9,2.72
Travis Kelce,7844,TE,KC,20,182,0,16,7.6,13,75.0,53.8,7,13,4.0,2,34,0,79.3,91.0,1,39,3.2,9,277,48,87.4,242,131.0,64,35.2,10,512,280,5.8,10.7,2.12,0,7.5,9,76.8,37.5,3,8,2.7,2,48,2,87.8,90.7,2,52,4.1,16,390,73,92.6,361,103.2,95,52.2,1,966,442,6.1,13.2,2.68
Tyreek Hill,10799,WR,MIA,18,181,0,17,12.1,3,64.5,37.5,3,8,0.0,0,13,1,83.6,86.2,2,26,0.0,0,100,20,94.0,94,81.7,31,17.1,2,232,61,3.1,11.6,2.47,0,12.7,5,72.0,57.1,8,14,5.3,5,57,0,78.5,91.5,5,64,0.0,0,383,90,95.0,364,102.2,125,69.1,5,1302,367,4.1,14.5,3.58
Davante Adams,8688,WR,LV,17,168,0,23,12.0,5,51.5,37.5,3,8,5.6,1,14,0,68.7,82.8,0,58,0.0,0,134,17,92.5,124,115.9,33,19.6,4,248,101,5.9,14.6,2.0,0,12.7,7,61.7,45.0,9,20,7.0,5,39,1,67.8,89.4,6,60,0.3,1,362,66,95.9,347,82.5,107,63.7,5,946,328,5.0,14.3,2.73
CeeDee Lamb,61570,WR,DAL,19,167,0,9,11.0,3,71.1,58.3,7,12,3.0,1,23,0,79.9,90.7,1,34,0.0,0,171,32,92.4,158,116.7,45,26.9,3,458,140,4.4,14.3,2.9,0,10.0,9,73.5,42.9,6,14,7.4,6,43,0,65.2,79.2,2,46,0.0,0,404,75,95.8,387,109.7,102,61.1,5,934,366,4.9,12.5,2.41
Stefon Diggs,9579,WR,BUF,18,166,0,4,14.2,5,59.7,38.5,5,13,11.9,5,29,0,47.3,84.8,0,52,0.0,0,219,37,91.3,200,108.9,62,37.3,4,529,205,5.5,14.3,2.65,0,11.1,9,79.3,70.0,7,10,1.5,1,38,0,90.2,83.1,0,49,0.0,0,370,65,95.9,355,119.2,82,49.4,3,794,193,3.0,12.2,2.24
A.J. Brown,48327,WR,PHI,20,158,0,24,13.5,10,62.9,47.1,8,17,9.3,4,29,1,50.7,90.4,0,68,0.0,0,223,39,91.9,205,132.1,62,39.2,6,674,249,6.4,17.3,3.29,0,12.7,6,60.3,41.7,5,12,6.0,3,27,1,71.9,71.1,3,78,0.0,0,407,47,96.3,392,86.1,78,49.4,3,693,276,5.9,14.7,1.77
Ja'Marr Chase,84270,WR,CIN,15,155,0,7,10.9,6,69.0,44.4,4,9,6.5,2,24,0,66.6,90.7,2,60,0.0,0,152,29,88.2,134,123.4,42,27.1,5,444,197,6.8,15.3,3.31,0,9.9,11,66.3,14.3,2,14,6.6,4,33,2,70.3,73.4,1,28,0.0,0,400,57,95.3,381,93.6,86,55.5,3,609,253,4.4,10.7,1.6
DeVonta Smith,61100,WR,PHI,20,154,0,24,10.8,4,66.7,50.0,9,18,5.3,2,26,0,72.7,84.1,0,45,0.0,0,229,36,92.1,211,128.3,54,35.1,5,516,236,6.6,14.3,2.45,0,9.8,9,76.7,30.0,3,10,2.9,2,33,0,85.3,76.5,0,45,0.0,0,430,66,96.0,413,105.9,86,55.8,1,742,237,3.6,11.2,1.8
D.K. Metcalf,47864,WR,SEA,18,152,0,29,14.4,2,59.1,40.0,8,20,3.7,1,16,0,75.7,80.9,1,54,0.0,0,144,26,90.3,130,112.6,44,28.9,4,427,109,4.2,16.4,3.28,0,10.9,2,68.2,66.7,14,21,6.5,4,29,2,69.4,71.3,2,26,0.0,0,391,58,95.9,375,82.5,85,55.9,1,601,153,2.6,10.4,1.6
